You are now connected to database "nc_news" as user "yewenjin".
    author    |                                         title                                         | article_id |  topic   |     created_at      | votes |                                      article_img_url                                       | comment_count 
--------------+---------------------------------------------------------------------------------------+------------+----------+---------------------+-------+--------------------------------------------------------------------------------------------+---------------
 grumpy19     | The Notorious MSG’s Unlikely Formula For Success                                      |         34 | cooking  | 2020-11-22 11:13:00 |     0 | https://images.pexels.com/photos/2403392/pexels-photo-2403392.jpeg?w=700&h=700             |            11
 tickle122    | The battle for Node.js security has only begun                                        |         12 | coding   | 2020-11-15 13:25:00 |     0 | https://images.pexels.com/photos/10845119/pexels-photo-10845119.jpeg?w=700&h=700           |             7
 grumpy19     | JavaScript’s Apply, Call, and Bind Methods are Essential for JavaScript Professionals |          6 | coding   | 2020-11-11 15:09:00 |     0 | https://images.pexels.com/photos/4383298/pexels-photo-4383298.jpeg?w=700&h=700             |            11
 jessjelly    | Running a Node App                                                                    |          1 | coding   | 2020-11-07 06:03:00 |     0 | https://images.pexels.com/photos/11035380/pexels-photo-11035380.jpeg?w=700&h=700           |             8
 tickle122    | Agility Training Drills For Football Players                                          |         21 | football | 2020-10-26 10:05:00 |     0 | https://images.pexels.com/photos/3448250/pexels-photo-3448250.jpeg?w=700&h=700             |             8
 tickle122    | Using React Native: One Year Later                                                    |          7 | coding   | 2020-10-18 01:26:00 |     0 | https://images.pexels.com/photos/6424586/pexels-photo-6424586.jpeg?w=700&h=700             |             8
 cooljmessy   | Express.js: A Server-Side JavaScript Framework                                        |          8 | coding   | 2020-10-05 23:23:00 |     0 | https://images.pexels.com/photos/11035482/pexels-photo-11035482.jpeg?w=700&h=700           |             7
 weegembump   | Seafood substitutions are increasing                                                  |         33 | cooking  | 2020-09-16 17:26:00 |     0 | https://images.pexels.com/photos/1267320/pexels-photo-1267320.jpeg?w=700&h=700             |             6
 jessjelly    | Who are the most followed clubs and players on Instagram?                             |         19 | football | 2020-09-13 13:02:00 |     0 | https://images.pexels.com/photos/685382/pexels-photo-685382.jpeg?w=700&h=700               |            13
 jessjelly    | Making sense of Redux                                                                 |          4 | coding   | 2020-09-11 21:12:00 |     0 | https://images.pexels.com/photos/4974912/pexels-photo-4974912.jpeg?w=700&h=700             |             9
 grumpy19     | The People Tracking Every Touch, Pass And Tackle in the World Cup                     |         18 | football | 2020-08-17 15:03:00 |     0 | https://images.pexels.com/photos/1884576/pexels-photo-1884576.jpeg?w=700&h=700             |             8
 weegembump   | History of FC Barcelona                                                               |         16 | football | 2020-08-03 00:14:00 |     0 | https://images.pexels.com/photos/102448/pexels-photo-102448.jpeg?w=700&h=700               |            16
 jessjelly    | Game of talents: management lessons from top football coaches                         |         24 | football | 2020-07-09 23:14:00 |     0 | https://images.pexels.com/photos/168872/pexels-photo-168872.jpeg?w=700&h=700               |             5
 weegembump   | What does Jose Mourinho's handwriting say about his personality?                      |         13 | football | 2020-07-08 20:25:00 |     0 | https://images.pexels.com/photos/114296/pexels-photo-114296.jpeg?w=700&h=700               |             6
 tickle122    | Designing Better JavaScript APIs                                                      |         11 | coding   | 2020-07-07 00:13:00 |     0 | https://images.pexels.com/photos/5483071/pexels-photo-5483071.jpeg?w=700&h=700             |             5
 cooljmessy   | An Introduction to JavaScript Object Notation (JSON) in JavaScript and .NET           |         10 | coding   | 2020-07-02 12:23:00 |     0 | https://images.pexels.com/photos/11035481/pexels-photo-11035481.jpeg?w=700&h=700           |             8
